ze_nr|ze_code|version|code|dose_unit|va|za
2|RZE-2025-02|R3.3|J01XX09|mg|IV|
1|TZE-2025-01|T5.3|N05AX08|mg|IM|CRC
2|TZE-2025-02|T5.3|N05AX12|mg|IM|CAM
3|TZE-2025-03|T5.3|N05AX13|mg|IM|CXE
