"ID_BE"|"URL"|"NAME_HN"|"ID_PAT_GR"|"WS_BEW"|"DATUM_BE_VOM"|"NAME_ZVT_BEST"|"ZVT_ZN_A"|"ZVT_ZN_w"|"ATC"
"3"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/"|"Jevtana"|"7"|"Cabazitaxel"|"2012-03-29"|"Palliative Behandlung mit Dexamethason, Prednison, Prednisolon oder Methylprednisolon sowie \"Best Supportive Care\" (z.B. adäquate Schmerztherapie)."|"gering"|"Hinweis"|"L01CD04"
"3"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/10/"|"Jevtana"|"8"|"Cabazitaxel"|"2012-03-29"|"Docetaxel in Kombination mit Prednison oder Prednisolon (Docetaxel-Retherapie)."|"gilt als nicht belegt"|NA|"L01CD04"
"5"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/22/"|"Rapiscan"|"12"|"Regadenoson"|"2012-03-29"|"Adenosin"|"gilt als nicht belegt"|NA|"C01EB21"
"11"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/"|"Eliquis"|"22"|"Apixaban"|"2012-06-07"|"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Kniegelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden."|"ist nicht belegt"|NA|"B01AF02"
"11"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/5/"|"Eliquis"|"23"|"Apixaban"|"2012-06-07"|"Die zweckmäßige Vergleichstherapie zur peri- und postoperativen Primärprophylaxe tiefer Venenthrombosen nach elektiven Hüftgelenksersatzoperationen sind diejenigen niedermolekularen Heparine, die für diese Indikation zugelassenen sind (z.B. Enoxaparin). Die Wirkstoffe sollen in den für den Schweregrad zugelassenen Dosierungen gegeben und patientenindividuell optimiert werden."|"gering"|"Hinweis"|"B01AF02"
"14"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/7/"|"Benlysta"|"27"|"Belimumab"|"2012-08-02"|"optimierte Standardtherapie (Chloroquin/Hydroxychloroquin, nichtsteroidale Antirheumatika (NSAIDs), Glukokortikoide, Azathioprin, ggf. Cyclophosphamid) unter Berücksichtigung der zugelassenen Dosierungen und des jeweiligen Zulassungsstatus der Wirkstoffe."|"beträchtlich"|"Hinweis"|"L04AG04"
"15"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/14/"|"Fampyra"|"28"|"Fampridin"|"2012-08-02"|"Die zweckmäßige Vergleichstherapie zur Verbesserung der Gehfähigkeit von erwachsenen Patienten mit Multipler Sklerose (MS) ist Krankengymnastik entsprechend der Heilmittelrichtlinie unter der Voraussetzung einer optimierten MS-Standardtherapie (einschließlich einer symptomatischen Therapie mit gegebenenfalls Spasmolytika)."|"gilt als nicht belegt"|NA|"N07XX07"
"16"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/16/"|"Yervoy"|"29"|"Ipilimumab"|"2012-08-02"|"Best-Supportive-Care"|"beträchtlich"|"Hinweis"|"L01FX04"
"18"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/9/"|"Yellox"|"30"|"Bromfenac"|"2012-01-19"|"Dexamethason Augentropfen"|"gilt als nicht belegt"|NA|"S01BC11"
"20"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/17/"|"Esbriet"|"33"|"Pirfenidon"|"2012-03-15"|NA|"nicht quantifizierbar"|NA|"L04AX05"
"22"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/19/"|"Zytiga"|"37"|"Abirateronacetat"|"2012-03-29"|"Palliative Behandlung mit Dexamethason, Prednison, Prednisolon oder Methylprednisolon sowie \"Best Supportive Care\" (z.B. adäquate Schmerztherapie)."|"beträchtlich"|"Hinweis"|"L02BX03"
"22"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/19/"|"Zytiga"|"38"|"Abirateronacetat"|"2012-03-29"|"Docetaxel in Kombination mit Prednison oder Prednisolon (Docetaxel-Retherapie)"|"gilt als nicht belegt"|NA|"L02BX03"
"27"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/26/"|"Eviplera"|"42"|"Emtricitabin/Rilpivirin/Tenofovirdisoproxil"|"2012-07-05"|"Efavirenz in Kombination mit zwei Nukleosid-/Nukleotidanaloga (Tenofovir plus Emtricitabin oder Abacavir plus Lamivudin)"|"gering"|"Beleg"|"J05AR08"
"28"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/28/"|"Edurant"|"43"|"Rilpivirin"|"2012-07-05"|"Efavirenz in Kombination mit zwei Nukleosid-/Nukleotidanaloga (Tenofovir plus Emtricitabin oder Abacavir plus Lamivudin)"|"gering"|"Beleg"|"J05AG05"
"29"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/29/"|"Edarbi"|"44"|"Azilsartan Medoxomil"|"2012-03-15"|NA|"gilt als nicht belegt"|NA|"C09CA09"
"32"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/34/"|"Signifor"|"47"|"Pasireotid"|"2012-12-06"|NA|"gering"|NA|"H01CB05"
"33"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/35/"|"Teysuno"|"48"|"Tegafur/Gimeracil/Oteracil"|"2012-12-20"|"Zweifachkombination von Cisplatin mit 5-Fluorouracil oder Capecitabin"|"gilt als nicht belegt"|NA|"L01BC73"
"35"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/37/"|"Trajenta"|"51"|"Linagliptin"|"2013-02-21"|"Sulfonylharnstoff (Glibenclamid, Glimepirid)"|"gilt als nicht belegt"|NA|"A10BH05"
"35"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/37/"|"Trajenta"|"52"|"Linagliptin"|"2013-02-21"|"Sulfonylharnstoff (Glibenclamid, Glimepirid) + Metformin"|"ist nicht belegt"|NA|"A10BH05"
"35"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/37/"|"Trajenta"|"53"|"Linagliptin"|"2013-02-21"|"Metformin + Humaninsulin
(Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist)"|"gilt als nicht belegt"|NA|"A10BH05"
"40"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/42/"|"Dacogen"|"60"|"Decitabin"|"2013-05-02"|NA|"gering"|NA|"L01BC08"
"43"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/"|"Adcetris"|"65"|"Brentuximab Vedotin"|"2013-05-16"|NA|"nicht quantifizierbar"|NA|"L01FX05"
"43"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/"|"Adcetris"|"66"|"Brentuximab Vedotin"|"2013-05-16"|NA|"nicht quantifizierbar"|NA|"L01FX05"
"43"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/"|"Adcetris"|"1673"|"Brentuximab Vedotin"|"2013-05-16"|NA|"nicht quantifizierbar"|NA|"L01FX05"
"44"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/48/"|"Pixuvri"|"67"|"Pixantron"|"2013-05-16"|"Patientenindividuelle Therapie nach Maßgabe des behandelnden Arztes, insbesondere eine Bleomycin-, Cyclophosphamid-, Etoposid-, Ifosfamid-, Methotrexat-, Mitoxantron-, Rituximab-, Trofosfamid-, Vinblastin-, Vincristin-, oder Vindesin-haltige Therapie, sofern unter Berücksichtigung der Vortherapie die Wirkstoffe erneut für eine Behandlung in Frage kommen sowie unter Berücksichtigung des jeweiligen deutschen Zulassungsstatus und der zugelassenen Dosierungen."|"ist nicht belegt"|NA|"L01DB11"
"45"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/49/"|"Trajenta"|"68"|"Linagliptin"|"2013-05-16"|"die Zweifachkombination von Metformin + Humaninsulin.
(Hinweis: Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist.)"|"gilt als nicht belegt"|NA|"A10BH05"
"47"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/50/"|"Eylea"|"73"|"Aflibercept"|"2013-06-06"|"Ranibizumab"|"ist nicht belegt"|NA|"S01LA05"
"51"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/57/"|"Eliquis"|"74"|"Apixaban"|"2013-06-20"|"Vitamin-K-Antagonisten"|"gering"|"Hinweis"|"B01AF02"
"53"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/59/"|"Dificlir"|"76"|"Fidaxomicin"|"2013-07-04"|"Metronidazol"|"ist nicht belegt"|NA|"A07AA12"
"53"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/59/"|"Dificlir"|"77"|"Fidaxomicin"|"2013-07-04"|"Vancomycin"|"beträchtlich"|"Beleg"|"A07AA12"
"54"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/60/"|"Zytiga"|"78"|"Abirateronacetat"|"2013-07-04"|"Das abwartende Vorgehen unter Beibehaltung der bestehenden konventionellen Androgendeprivation oder gegebenenfalls die kombinierte, maximale Androgenblockade mit einem nichtsteroidalen Antiandrogen (Flutamid, Bicalutamid)."|"beträchtlich"|"Hinweis"|"L02BX03"
"55"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/61/"|"Zaltrap"|"79"|"Aflibercept"|"2013-08-15"|"Kombinations-Chemotherapie aus 5-Fluorouracil, Folinsäure und Irinotecan"|"gering"|"Hinweis"|"L01XX44"
"57"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/"|"Lyxumia "|"81"|"Lixisenatid"|"2013-09-05"|"Sulfonylharnstoff (Glibenclamid oder Glimepirid) + Metformin"|"ist nicht belegt"|NA|"A10BJ03"
"57"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/"|"Lyxumia "|"82"|"Lixisenatid"|"2013-09-05"|"Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid)
(Hinweis: Wenn Metformin gemäß Fachinformation nicht geeignet ist, ist Humaninsulin als Therapieoption einzusetzen)"|"ist nicht belegt"|NA|"A10BJ03"
"57"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/"|"Lyxumia "|"83"|"Lixisenatid"|"2013-09-05"|"Metformin + Humaninsulin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist)"|"gilt als nicht belegt"|NA|"A10BJ03"
"57"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/"|"Lyxumia "|"84"|"Lixisenatid"|"2013-09-05"|"Metformin + Humaninsulin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist)"|"ist nicht belegt"|NA|"A10BJ03"
"58"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/"|"Zomarist"|"85"|"Vildagliptin/Metformin"|"2013-10-01"|"Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid)"|"ist nicht belegt"|NA|"A10BD08"
"58"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/"|"Zomarist"|"86"|"Vildagliptin/Metformin"|"2013-10-01"|"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist.)"|"ist nicht belegt"|NA|"A10BD08"
"58"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/"|"Zomarist"|"87"|"Vildagliptin/Metformin"|"2013-10-01"|"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist.)"|"ist nicht belegt"|NA|"A10BD08"
"59"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/"|"Galvus"|"88"|"Vildagliptin"|"2013-10-01"|"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist)"|"ist nicht belegt"|NA|"A10BH02"
"59"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/"|"Galvus"|"89"|"Vildagliptin"|"2013-10-01"|"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist)."|"ist nicht belegt"|NA|"A10BH02"
"59"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/"|"Galvus"|"90"|"Vildagliptin"|"2013-10-01"|"Sulfonylharnstoff (Glibenclamid oder Glimepirid)"|"ist nicht belegt"|NA|"A10BH02"
"59"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/"|"Galvus"|"91"|"Vildagliptin"|"2013-10-01"|"Sulfonylharnstoff (Glibenclamid oder Glimepirid) + Metformin"|"ist nicht belegt"|NA|"A10BH02"
"63"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/65/"|"Perjeta"|"105"|"Pertuzumab"|"2013-10-01"|"Trastuzumab in Kombination mit einem Taxan (Paclitaxel, Docetaxel)"|"beträchtlich"|"Anhaltspunkt"|"L01FD02"
"63"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/65/"|"Perjeta"|"106"|"Pertuzumab"|"2013-10-01"|"Trastuzumab in Kombination mit einem Taxan (Paclitaxel, Docetaxel)"|"ist nicht belegt"|NA|"L01FD02"
"63"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/65/"|"Perjeta"|"107"|"Pertuzumab"|"2013-10-01"|"Strahlentherapie"|"gilt als nicht belegt"|NA|"L01FD02"
"65"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/66/"|"Komboglyze"|"110"|"Saxagliptin/Metformin"|"2013-10-01"|"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist)."|"ist nicht belegt"|NA|"A10BD10"
"68"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/70/"|"Constella"|"112"|"Linaclotid"|"2013-10-17"|"Ernährungsumstellung entsprechend ärztlicher Beratung sowie symptomorientierte Behandlung (Obstipation, Blähungen, Krämpfe, Schmerzen)"|"ist nicht belegt"|NA|"A06AX04"
"70"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/71/"|"Elvanse"|"115"|"Lisdexamfetamindimesilat"|"2013-11-14"|"Atomoxetin"|"ist nicht belegt"|NA|"N06BA12"
"71"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/72/"|"Stribild"|"116"|"Elvitegravir/Cobicistat/Emtricitabin/Tenofovirdisoproxil"|"2013-12-05"|"Efavirenz in Kombination mit zwei Nukleosid-/Nukleotidanaloga (Tenofovirdisoproxil plus Emtricitabin oder Abacavir plus Lamivudin)
"|"ist nicht belegt"|NA|"J05AR09"
"71"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/72/"|"Stribild"|"117"|"Elvitegravir/Cobicistat/Emtricitabin/Tenofovirdisoproxil"|"2013-12-05"|"Individuelle antiretrovirale Therapie in Abhängigkeit der Vortherapie(n) und unter Berücksichtigung des Grundes für den Therapiewechsel, insbesondere Therapieversagen; aufgrund eines virologischen Versagens und etwaiger einhergehender Resistenzbildung oder aufgrund von Nebenwirkungen."|"ist nicht belegt"|NA|"J05AR09"
"72"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/73/"|"Nevanac"|"118"|"Nepafenac"|"2013-12-19"|"Diclofenac Augentropfen"|"gilt als nicht belegt"|NA|"S01BC10"
"76"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/76/"|"Xtandi"|"123"|"Enzalutamid"|"2014-02-20"|"Best-Supportive-Care (z. B. adäquate Schmerztherapie)"|"beträchtlich"|"Hinweis"|"L02BB04"
"78"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/79/"|"Zelboraf"|"125"|"Vemurafenib"|"2014-03-06"|"Dacarbazin"|"beträchtlich"|"Hinweis"|"L01EC01"
"79"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/80/"|"Tafinlar"|"126"|"Dabrafenib"|"2014-04-03"|"Vemurafenib"|"ist nicht belegt"|NA|"L01EC02"
"81"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/81/"|"Aubagio"|"128"|"Teriflunomid"|"2014-03-20"|"Die zweckmäßige Vergleichstherapie für die Behandlung von erwachsenen Patienten mit schubförmig-remittierender Multipler Sklerose (MS) ist Beta-Interferon (IFN-ß) 1a oder IFN-ß 1b oder Glatirameracetat unter Beachtung des jeweils zugelassenen Anwendungsgebietes."|"ist nicht belegt"|NA|"L04AK02"
"82"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/83/"|"Eylea"|"129"|"Aflibercept"|"2014-03-20"|"Dexamethason (Intravitreales Implantat) oder Ranibizumab"|"ist nicht belegt"|NA|"S01LA05"
"85"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/86/"|"Xoterna Breezhaler"|"130"|"Indacaterol/Glycopyrronium"|"2014-05-08"|"langwirksame Beta-2-Sympathomimetika (Formoterol oder Salmeterol) oder langwirksame Anticholinergika (Tiotropium) oder die Kombination beider Wirkstoffklassen"|"gering"|"Anhaltspunkt"|"R03AL04"
"85"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/86/"|"Xoterna Breezhaler"|"131"|"Indacaterol/Glycopyrronium"|"2014-05-08"|"langwirksame Beta-2-Sympathomimetika (Formoterol oder Salmeterol) oder langwirksame Anticholinergika (Tiotropium) oder die Kombination beider Wirkstoffklassen"|"gering"|"Hinweis"|"R03AL04"
"85"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/86/"|"Xoterna Breezhaler"|"132"|"Indacaterol/Glycopyrronium"|"2014-05-08"|"langwirksame Beta-2-Sympathomimetika (Formoterol oder Salmeterol) oder langwirksame Anticholinergika (Tiotropium) oder die Kombination beider Wirkstoffklassen"|"ist nicht belegt"|NA|"R03AL04"
"85"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/86/"|"Xoterna Breezhaler"|"133"|"Indacaterol/Glycopyrronium"|"2014-05-08"|"langwirksame Beta-2-Sympathomimetika (Formoterol oder Salmeterol) oder langwirksame Anticholinergika (Tiotropium) oder die Kombination beider Wirkstoffklassen zusätzlich inhalative Corticosteroide"|"ist nicht belegt"|NA|"R03AL04"
"275"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/273/"|"Caprelsa"|"518"|"Vandetanib"|"2017-07-06"|"Best-Supportive-Care"|"nicht quantifizierbar, weil die erforderlichen Nachweise nicht vollständig sind"|"Anhaltspunkt"|"L01EX04"
"276"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/274/"|"Cinqaero"|"542"|"Reslizumab"|"2017-07-06"|"eine patientenindividuelle Therapieeskalation: 
-	der hochdosierten inhalativen Corticosteroide und der langwirksamen Bronchodilatatoren (LABA) mit Tiotropium und ggf. orale Corticosteroide* oder
-	bei IgE-vermittelter Pathogenese des Asthmas ggf. Omalizumab zusätzlich zu hochdosierten inhalativen Corticosteroiden und langwirksamen Bronchodilatatoren (LABA) und ggf. orale Corticosteroide* oder 
-	ggf. der hochdosierten inhalativen Corticosteroide und der langwirksamen Bronchodilatatoren (LABA) mit oralen Corticosteroiden*

*Orale Corticosteroide sollten nur kurzzeitig und in der niedrigst-wirksamen Dosis eingesetzt werden."|"ist nicht belegt"|NA|"R03DX08"
"276"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/274/"|"Cinqaero"|"1353"|"Reslizumab"|"2017-07-06"|"eine patientenindividuelle Therapieeskalation: 
-	der hochdosierten inhalativen Corticosteroide und der langwirksamen Bronchodilatatoren (LABA) mit Tiotropium und ggf. orale Corticosteroide* oder
-	bei IgE-vermittelter Pathogenese des Asthmas ggf. Omalizumab zusätzlich zu hochdosierten inhalativen Corticosteroiden und langwirksamen Bronchodilatatoren (LABA) und ggf. orale Corticosteroide* oder 
-	ggf. der hochdosierten inhalativen Corticosteroide und der langwirksamen Bronchodilatatoren (LABA) mit oralen Corticosteroiden*

*Orale Corticosteroide sollten nur kurzzeitig und in der niedrigst-wirksamen Dosis eingesetzt werden."|"gering"|"Anhaltspunkt"|"R03DX08"
"278"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/277/"|"Afstyla"|"534"|"Lonoctocog alfa"|"2017-07-20"|"rekombinante oder aus humanem Plasma gewonnene Blutgerinnungsfaktor VIII-Präparate"|"ist nicht belegt"|NA|"B02BD35"
"279"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/278/"|"Keytruda"|"602"|"Pembrolizumab"|"2017-08-03"|"Patienten mit ECOG-Performance-Status 0, 1 oder 2:
•	Cisplatin in Kombination mit einem Drittgenerationszytostatikum
(Vinorelbin oder Gemcitabin oder Docetaxel oder Paclitaxel oder Pemetrexed) unter Beachtung des Zulassungsstatus
oder
•	Carboplatin in Kombination mit einem Drittgenerationszytostatikum
(nur für Patienten mit erhöhtem Risiko für Cisplatin-induzierte Nebenwirkungen im Rahmen einer Kombinationstherapie; vgl. Anlage VI zum Abschnitt K der Arzneimittel-Richtlinie)
oder
•	Carboplatin in Kombination mit nab-Paclitaxel
Patienten mit ECOG-Performance-Status 2:
•	alternativ zur Platin-basierten Kombinationsbehandlung: eine Monotherapie mit Gemcitabin oder Vinorelbin"|"beträchtlich"|"Hinweis"|"L01FF02"
"280"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/279/"|"Taltz"|"603"|"Ixekizumab"|"2017-08-17"|"Fumarsäureester oder Ciclosporin oder Methotrexat oder Phototherapie (Balneophototherapie, orale PUVA, NB-UV-B).

Die jeweilige Zulassung der Arzneimittel ist zu berücksichtigen."|"beträchtlich"|"Hinweis"|"L04AC13"
"280"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/279/"|"Taltz"|"1392"|"Ixekizumab"|"2017-08-17"|"Adalimumab oder Infliximab oder Ustekinumab"|"gering"|"Hinweis"|"L04AC13"
"281"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/280/"|"Cosentyx"|"604"|"Secukinumab"|"2017-08-17"|"Fumarsäureester oder Ciclosporin oder Methotrexat oder Phototherapie (Balneophototherapie, orale PUVA, NB-UV-B)

Die jeweilige Zulassung der Arzneimittel ist zu berücksichtigen."|"beträchtlich"|"Hinweis"|"L04AC10"
"282"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/281/"|"Tivicay"|"605"|"Dolutegravir"|"2017-09-21"|"Antiretrovirale Therapie aus 2 NRTI (Abacavir oder Lamivudin oder Emtricitabin oder Zidovudin) und einem NNRTI (Efavirenz oder Nevirapin) oder einem Proteaseinhibitor (Lopinavir oder Atazanavir oder Darunavir, jeweils in Kombination mit Ritonavir)"|"ist nicht belegt"|NA|"J05AJ03"
"282"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/281/"|"Tivicay"|"1245"|"Dolutegravir"|"2017-09-21"|"Individuelle antiretrovirale Therapie in Abhängigkeit der Vortherapie(n) und unter Berücksichtigung des Grundes für den Therapiewechsel, insbesondere Therapieversagen aufgrund eines virologischen Versagens und etwaig einhergehender Resistenzbildung oder aufgrund von Nebenwirkungen."|"ist nicht belegt"|NA|"J05AJ03"
"283"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/283/"|"Inlyta"|"606"|"Axitinib"|"2017-09-21"|"Nivolumab oder Everolimus"|"ist nicht belegt"|NA|"L01EK01"
"283"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/283/"|"Inlyta"|"1217"|"Axitinib"|"2017-09-21"|"Sorafenib"|"gering"|"Anhaltspunkt"|"L01EK01"
"284"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/284/"|"Olumiant"|"607"|"Baricitinib"|"2017-09-21"|"Alternative klassische DMARDs, sofern geeignet (z. B. MTX, Leflunomid) als Mono- oder Kombinationstherapie"|"ist nicht belegt"|NA|"L04AF02"
"284"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/284/"|"Olumiant"|"1775"|"Baricitinib"|"2017-09-21"|"biotechnologisch hergestellte DMARDs (bDMARD) in Kombination mit Methotrexat (MTX) (Adalimumab oder Etanercept oder Certolizumab-Pegol oder Golimumab oder Abatacept oder Tocilizumab); ggf. als Monotherapie unter Berücksichtigung des jeweiligen Zulassungsstatus bei MTX-Unverträglichkeit"|"ist nicht belegt"|NA|"L04AF02"
"284"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/284/"|"Olumiant"|"1776"|"Baricitinib"|"2017-09-21"|"biotechnologisch hergestellte DMARDs (bDMARDs) in Kombination mit Methotrexat (Adalimumab oder Etanercept oder Certolizumab-Pegol oder Golimumab oder Abatacept oder Tocilizumab)"|"ist nicht belegt"|NA|"L04AF02"
"284"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/284/"|"Olumiant"|"1777"|"Baricitinib"|"2017-09-21"|"Wechsel der bDMARD – Therapie (Adalimumab oder Etanercept oder Certolizumab-Pegol oder Golimumab oder Abatacept oder Tocilizumab; in Kombination mit Methotrexat (MTX); ggf. als Monotherapie unter Berücksichtigung des jeweiligen Zulassungsstatus bei MTX-Unverträglichkeit; oder bei Patienten mit schwerer rheumatoider Arthritis Rituximab unter Berücksichtigung der Zulassung) in Abhängigkeit von der Vortherapie. Je nach Vortherapie sollte ein Wechsel des Wirkprinzips erwogen werden."|"ist nicht belegt"|NA|"L04AF02"
"286"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/285/"|"Alecensa"|"609"|"Alectinib"|"2017-10-19"|"Docetaxel oder Pemetrexed oder Ceritinib"|"gering"|"Anhaltspunkt"|"L01ED03"
"286"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/285/"|"Alecensa"|"1701"|"Alectinib"|"2017-10-19"|"Best-Supportive-Care"|"ist nicht belegt"|NA|"L01ED03"
"287"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/286/"|"Tagrisso"|"610"|"Osimertinib"|"2017-10-19"|"eine zytotoxische Chemotherapie nach Maßgabe des Arztes
(unter Beachtung des Zulassungsstatus in Verbindung mit der Verordnungsfähigkeit vonArzneimitteln in Off-Label-Indikationen gemäß Anlage VI der Arzneimittel-Richtlinie)
oder gegebenenfalls 
Best-Supportive-Care für Patienten, die bereits eine zytotoxische Chemotherapie erhalten haben als Alternative für eine weitere zytotoxische Chemotherapie"|"beträchtlich"|"Anhaltspunkt"|"L01EB04"
"289"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/288/"|"Mekinist"|"612"|"Trametinib"|"2017-10-19"|"•	Patienten mit ECOG-Performance-Status 0, 1 oder 2:
−	Cisplatin in Kombination mit einem Drittgenerationszytostatikum (Vinorelbin oder Gemcitabin oder Docetaxel oder Paclitaxel oder Pemetrexed) unter Beachtung des Zulassungsstatus
oder
−	Carboplatin in Kombination mit einem Drittgenerationszytostatikum (nur für Patienten mit erhöhtem Risiko für Cisplatin-induzierte Nebenwirkungen im Rahmen einer Kombinationstherapie; vgl. Anlage VI zum Abschnitt K der Arzneimittel-Richtlinie)
oder
−	Carboplatin in Kombination mit nab-Paclitaxel
•	Patienten mit ECOG-Performance-Status 2:
−	alternativ zur platinbasierten Kombinationsbehandlung: eine Monotherapie mit Gemcitabin oder Vinorelbin"|"ist nicht belegt"|NA|"L01EE01"
